"iteration"	"intercept"	"first"	"second"	"third"	"fourth"
"genome_146"	1614574.62596903	-0.0790868208159545	1.45145975271141e-09	-1.18289422567391e-17	3.61195062752979e-26
"genome_147"	1071418.50016529	-0.052591936361177	9.66946473379566e-10	-7.89217313754934e-18	2.41279277839805e-26
"genome_148"	1845868.96751253	-0.0904052718278022	1.65901283969833e-09	-1.35192896500559e-17	4.12782008554771e-26
"genome_149"	1315337.06748337	-0.0645296867074378	1.18604108405779e-09	-9.67927786959005e-18	2.95940777210438e-26
"genome_15"	1623250.37643928	-0.0793746073752182	1.45415904937006e-09	-1.18293498233692e-17	3.60531100028944e-26
"genome_150"	1455579.29987359	-0.0715392965231109	1.31731482651336e-09	-1.07710205815475e-17	3.29961089849366e-26
"genome_151"	1405395.50216067	-0.0688953917791969	1.26538460428455e-09	-1.03200367325415e-17	3.15342053059557e-26
"genome_152"	1524934.99313124	-0.0748971961404512	1.3782807795921e-09	-1.12629885269719e-17	3.44849130882925e-26
"genome_153"	1678329.57191392	-0.0822588324020551	1.51053879906096e-09	-1.23171586949949e-17	3.76299428517545e-26
"genome_154"	1040586.15556614	-0.0510342367964983	9.3759407979955e-10	-7.64757420642902e-18	2.33670954538062e-26
"genome_155"	1561589.68050177	-0.0762544660870024	1.39508859226176e-09	-1.13334264522593e-17	3.44951731900885e-26
"genome_156"	1120240.25077833	-0.054830927978383	1.00534431200545e-09	-8.1839515812716e-18	2.49565821566908e-26
"genome_157"	1850670.71525875	-0.0904051104153674	1.65476190446796e-09	-1.34506031464058e-17	4.0966256053427e-26
"genome_158"	1298079.66767314	-0.0635800422061666	1.16659541494568e-09	-9.50350184001106e-18	2.90018289634404e-26
"genome_159"	1500073.43124289	-0.0733767297763975	1.34477065988725e-09	-1.09437729670452e-17	3.3367973351067e-26
"genome_16"	1313781.62062635	-0.0643061873212463	1.17925579836802e-09	-9.60227277847419e-18	2.92931490211965e-26
"genome_160"	1095613.22531293	-0.0536408127517988	9.83800776005801e-10	-8.01083080391736e-18	2.44355414718098e-26
"genome_161"	1416699.88522172	-0.0695026813532752	1.27751848573369e-09	-1.04270179325739e-17	3.18856816401067e-26
"genome_162"	1255307.04730185	-0.0615711115675719	1.13136756311041e-09	-9.23029455996073e-18	2.82116363631234e-26
"genome_163"	1299781.09563845	-0.0638372036182221	1.17460495016308e-09	-9.59643549533819e-18	2.93727270012604e-26
"genome_164"	1298109.99652609	-0.0637486740051734	1.17289788508657e-09	-9.58218663703232e-18	2.93292224984207e-26
"genome_165"	1803223.96461844	-0.0881399940941479	1.61421476266028e-09	-1.31280261107739e-17	4.00038616672798e-26
"genome_166"	1605257.02082265	-0.0786727872829424	1.44460442179269e-09	-1.17788653219145e-17	3.5983515569218e-26
"genome_167"	1392474.55010593	-0.0682075023636276	1.25177568140038e-09	-1.02013053487482e-17	3.11483631977204e-26
"genome_168"	1843226.8851804	-0.090081457308278	1.64954168969818e-09	-1.34136604825078e-17	4.08697438003614e-26
"genome_169"	1037429.46216007	-0.0508010915144594	9.31832254943202e-10	-7.58819581635372e-18	2.31468585160141e-26
"genome_17"	1168852.41069783	-0.0572738304315292	1.05132556046519e-09	-8.56817878632517e-18	2.61593158616307e-26
"genome_170"	1407408.07400996	-0.068962469408585	1.2660127941148e-09	-1.03200425612811e-17	3.1517990042999e-26
"genome_171"	1815484.53803495	-0.088841616775979	1.6289992498951e-09	-1.32644990515165e-17	4.04707145363146e-26
"genome_172"	1542693.00324651	-0.0755045692075529	1.38453984601492e-09	-1.12735632325577e-17	3.43918461160129e-26
"genome_173"	1168455.65292173	-0.0571702148748243	1.04797036890462e-09	-8.52971392664771e-18	2.6010055054364e-26
"genome_174"	1697839.80053968	-0.0832810885286391	1.53060858687627e-09	-1.24921172271635e-17	3.82012788411263e-26
"genome_175"	1331279.74360009	-0.0653128441758057	1.20045097248931e-09	-9.7969936443064e-18	2.99543543957541e-26
"genome_176"	1502358.57417602	-0.0737727765945423	1.35727798784743e-09	-1.10886267457429e-17	3.39421267946638e-26
"genome_177"	1769069.65201079	-0.0868903573548726	1.59903993984818e-09	-1.30675495979058e-17	4.00121418931528e-26
"genome_178"	1472370.08901042	-0.0721927942681806	1.32620096668684e-09	-1.0818061951132e-17	3.30620816583671e-26
"genome_179"	1512970.29707133	-0.0739190187162451	1.35307232205602e-09	-1.09979022020411e-17	3.34917339687332e-26
"genome_18"	1126411.27936924	-0.0551277695649227	1.01070368233397e-09	-8.22700648699391e-18	2.50864668654844e-26
"genome_180"	1388750.85830767	-0.0679480677113284	1.24561209616408e-09	-1.01397355496793e-17	3.09259914035051e-26
"genome_181"	667371.652218154	-0.0329144151555518	6.07832676119745e-10	-4.98143293735566e-18	1.52869623771178e-26
"genome_182"	1491207.7342059	-0.0731971431118027	1.34613298225259e-09	-1.0992734233128e-17	3.36328332533495e-26
"genome_183"	1465036.43864121	-0.0716460153140892	1.31275291280395e-09	-1.06808631960728e-17	3.25594594501195e-26
"genome_184"	1272283.70526047	-0.0624729306983877	1.14927785486607e-09	-9.38791340655954e-18	2.87302829082464e-26
"genome_185"	1303627.92201243	-0.0638410678880194	1.17125114124712e-09	-9.54087773943241e-18	2.91159105752687e-26
"genome_186"	1608467.50842731	-0.0789712817916936	1.4527087888937e-09	-1.18665920165187e-17	3.63184173072657e-26
"genome_187"	1217932.54099647	-0.0596260288958158	1.09366842003134e-09	-8.90753022552507e-18	2.71810187024986e-26
"genome_188"	1394089.3557149	-0.0681497950520508	1.24824287435769e-09	-1.01526372795821e-17	3.09398621542131e-26
"genome_189"	944067.862570742	-0.0464490651322134	8.56091524794568e-10	-7.00515012016496e-18	2.1472581133157e-26
"genome_19"	1333287.88191308	-0.0651954428409572	1.19436637171277e-09	-9.71559404587652e-18	2.96092328133761e-26
"genome_190"	1522152.52798659	-0.0744360801184128	1.36384616690045e-09	-1.10965690022589e-17	3.38273624555522e-26
"genome_191"	1204266.48596965	-0.0590719397921902	1.085535704768e-09	-8.85719699328607e-18	2.70740453002872e-26
"genome_192"	1247215.98420329	-0.0611409714106514	1.12286450327742e-09	-9.15612392402197e-18	2.79705236118931e-26
"genome_193"	1180193.39708164	-0.0577371074489951	1.05810092806033e-09	-8.60904351226888e-18	2.62394279674471e-26
"genome_194"	1474499.85201992	-0.0722225405979563	1.32537615027308e-09	-1.08001347231774e-17	3.29729696870551e-26
"genome_195"	1610421.84308663	-0.0786000125137097	1.43731611137302e-09	-1.1671129117689e-17	3.55073557504211e-26
"genome_196"	1541178.16120549	-0.0757967168790423	1.39672882850513e-09	-1.1429412419123e-17	3.50430274748319e-26
"genome_197"	1309302.50061427	-0.0638619658066537	1.16702894309592e-09	-9.46981919449854e-18	2.8789641678327e-26
"genome_198"	1368939.83672259	-0.0671526526989921	1.23414176454352e-09	-1.00710636266349e-17	3.07899865085413e-26
"genome_199"	1334479.1498973	-0.065498111179449	1.20442454688983e-09	-9.83444517257785e-18	3.00853631169e-26
"genome_2"	1479708.00148385	-0.0725005171256507	1.33094508303592e-09	-1.08497113200128e-17	3.31383003898346e-26
"genome_20"	1375249.66958942	-0.0675562583695552	1.24332962214471e-09	-1.01608400971906e-17	3.11108345601448e-26
"genome_200"	634662.830976854	-0.0313952255180038	5.81471739794649e-10	-4.77897101919582e-18	1.47064814912679e-26
"genome_201"	1112439.06928396	-0.054432653687262	9.97758192361597e-10	-8.12004579244847e-18	2.47556605930482e-26
"genome_202"	1588736.59040885	-0.077564305471619	1.41886284122984e-09	-1.15258345307416e-17	3.50810424553366e-26
"genome_203"	1297003.11265803	-0.063417058919384	1.16165338161032e-09	-9.44793364277901e-18	2.87873473080625e-26
"genome_204"	1238034.09875589	-0.0606069210454926	1.11150610063374e-09	-9.05078602839082e-18	2.76096428667365e-26
"genome_205"	1366978.99437842	-0.0668941045666504	1.22648350452534e-09	-9.98546632950215e-18	3.0459489753435e-26
"genome_206"	232201.758424074	-0.0118626145130425	2.26018255948354e-10	-1.90441441459377e-18	5.99019148991919e-27
"genome_207"	1010688.23521642	-0.0494473507146039	9.06195525997835e-10	-7.37288772390529e-18	2.24700820257121e-26
"genome_208"	1698442.38568751	-0.0829717870541766	1.51863467047073e-09	-1.23425191536162e-17	3.75834140043958e-26
"genome_209"	1392848.64343576	-0.0683115533899903	1.25520806269632e-09	-1.02412765969247e-17	3.1305806134858e-26
"genome_21"	1920547.28764164	-0.0940261261992211	1.72482149728385e-09	-1.40506703186401e-17	4.28866324868207e-26
"genome_210"	1496670.65859092	-0.0732101021080915	1.34164607884184e-09	-1.0917208473837e-17	3.32817712286992e-26
"genome_211"	773836.786404776	-0.0379994994458517	6.98884577721881e-10	-5.70582594511756e-18	1.74475712901384e-26
"genome_212"	1197357.72744877	-0.0588232741545442	1.08263659685196e-09	-8.84727829889668e-18	2.70860472171163e-26
"genome_213"	1591644.84270035	-0.0780293965992566	1.43321863404759e-09	-1.16894679257493e-17	3.57207878971306e-26
"genome_214"	1727533.09388139	-0.0845412305155115	1.55013957457567e-09	-1.26217044020969e-17	3.85056799111467e-26
"genome_215"	545509.432447739	-0.0269575858831809	4.9868836510054e-10	-4.09304946549172e-18	1.25766689427971e-26
"genome_216"	1531451.80635946	-0.074784975414495	1.3682930591869e-09	-1.11168636827837e-17	3.38406239033141e-26
"genome_217"	1280828.14639703	-0.0628210781562205	1.15437061079252e-09	-9.41880401404406e-18	2.87920291393818e-26
"genome_218"	1534098.03694031	-0.0750414598171512	1.37534009558873e-09	-1.11934696533868e-17	3.41334307251265e-26
"genome_219"	1131400.22890709	-0.055527543820342	1.02098563727236e-09	-8.33555828449507e-18	2.54958226483918e-26
"genome_22"	1186026.83166792	-0.0580180393085507	1.06322771629773e-09	-8.65105696946208e-18	2.63698122358308e-26
"genome_220"	1599765.29332959	-0.0782383826130783	1.43363739932994e-09	-1.16654105597085e-17	3.55645320070592e-26
"genome_221"	1693978.17877911	-0.0829642466962513	1.52242076839931e-09	-1.24057818613975e-17	3.78768732555363e-26
"genome_222"	1165192.48230903	-0.0570360136533274	1.04583642512007e-09	-8.51382943100916e-18	2.59625151666815e-26
"genome_223"	887172.636748298	-0.0433282612520982	7.92611409662564e-10	-6.43661358745135e-18	1.95783398450237e-26
"genome_224"	1843722.94494069	-0.0901143039568076	1.65030243977647e-09	-1.34211666259891e-17	4.08967341296312e-26
"genome_225"	1556222.0291989	-0.0761037095076487	1.39443488629281e-09	-1.13457702073808e-17	3.45882055472462e-26
"genome_226"	1537591.27326202	-0.0753047072282854	1.38183905800435e-09	-1.12598445546e-17	3.43765422312664e-26
"genome_227"	1257749.17558359	-0.0615732884585268	1.12924648590717e-09	-9.19535294825202e-18	2.80509025302536e-26
"genome_228"	1288389.52890501	-0.0630023929609446	1.15419603208465e-09	-9.38856584239243e-18	2.8610853510608e-26
"genome_229"	1181621.75897072	-0.057926282636803	1.06375929173402e-09	-8.67295776878006e-18	2.64888656014591e-26
"genome_23"	1263385.59644999	-0.0619523747941409	1.13811714415534e-09	-9.28341978460461e-18	2.83684978666695e-26
"genome_230"	1342198.97086627	-0.0655787257635827	1.20049436107787e-09	-9.75872892600931e-18	2.97219449611909e-26
"genome_231"	1388673.30773071	-0.0680321219956948	1.24866189067892e-09	-1.01760247747299e-17	3.10691703727454e-26
"genome_232"	1230845.845841	-0.0602461773499916	1.10472637258724e-09	-8.99423057668336e-18	2.74329438327074e-26
"genome_233"	1410216.73768367	-0.0689311051297002	1.26236736693954e-09	-1.0265550728546e-17	3.12765997416143e-26
"genome_234"	1194769.95872412	-0.0584056707847413	1.06966927090483e-09	-8.69866392126777e-18	2.65020295495923e-26
"genome_235"	989894.4660394	-0.0484049683780118	8.86597527875741e-10	-7.20910427576526e-18	2.19567380846166e-26
"genome_236"	1273587.42358837	-0.0624519972108196	1.14733486895106e-09	-9.35934001892266e-18	2.86039851457547e-26
"genome_237"	1052294.48504875	-0.0515712257502412	9.46682234478965e-10	-7.71455039588761e-18	2.35472627981086e-26
"genome_238"	1412865.43633383	-0.0694472135665797	1.27892476055404e-09	-1.04582011738959e-17	3.20410312371818e-26
"genome_239"	1632342.2648337	-0.0798268887029601	1.46269765072881e-09	-1.19017996965032e-17	3.62859435333177e-26
"genome_24"	1660961.93061097	-0.0812944985740996	1.490819202544e-09	-1.21404894852221e-17	3.70432887119577e-26
"genome_240"	808213.498354615	-0.0394838330637959	7.22360586525228e-10	-5.8655535420466e-18	1.78358655698439e-26
"genome_241"	1444302.24904417	-0.0707903621896794	1.29995820368447e-09	-1.06000565552783e-17	3.23835842867424e-26
"genome_242"	1071812.27761105	-0.052486464458724	9.62857603651234e-10	-7.84237545855363e-18	2.39287059156883e-26
"genome_243"	1258468.74371125	-0.0616805904177315	1.13257311731061e-09	-9.23381818414768e-18	2.82039348548925e-26
"genome_244"	1327406.03689307	-0.0648900532685504	1.18839701061117e-09	-9.66359082876394e-18	2.94390522916933e-26
"genome_245"	1344826.11974457	-0.0657602066234486	1.20475166174639e-09	-9.80062647003799e-18	2.98707915174171e-26
"genome_246"	1462075.69028924	-0.0718003920207637	1.32107957327129e-09	-1.0793498678888e-17	3.30401774382192e-26
"genome_247"	1483926.79189243	-0.0726930939298306	1.33417946946132e-09	-1.0873280704772e-17	3.32006853266802e-26
"genome_248"	1622097.97574298	-0.0793030096764369	1.45269054543742e-09	-1.18171334743388e-17	3.60181326202263e-26
"genome_249"	1662925.0416332	-0.0816141895853265	1.50072767927587e-09	-1.22537019487756e-17	3.74867505512663e-26
"genome_25"	1039116.08402898	-0.0508883817660314	9.33468960131687e-10	-7.601345768193e-18	2.31848324274338e-26
"genome_250"	1301809.08118565	-0.063641079991759	1.16560507375288e-09	-9.47925144192017e-18	2.88815630351305e-26
"genome_251"	1401637.79578329	-0.0687947704302547	1.26504900723492e-09	-1.03294625492803e-17	3.15996873298431e-26
"genome_252"	1366142.41637643	-0.0670347077683416	1.23234325984813e-09	-1.00595248981847e-17	3.07646992702329e-26
"genome_253"	1303369.77960432	-0.0637944032530451	1.16974594969622e-09	-9.52313050413338e-18	2.90444161017756e-26
"genome_254"	1110456.15139139	-0.0544918517068335	1.00175231989854e-09	-8.17660944203439e-18	2.50026628566159e-26
"genome_255"	1373969.76044678	-0.0671650912511267	1.23010019577131e-09	-1.00035144166827e-17	3.04785831482281e-26
"genome_256"	1437262.33347754	-0.0704499784937018	1.29373056588946e-09	-1.05489723521654e-17	3.2225159245274e-26
"genome_257"	1315582.46968279	-0.0643614127306351	1.17972343188284e-09	-9.60211029098903e-18	2.92819357442935e-26
"genome_258"	1943843.23708865	-0.0950803334800888	1.74257591924066e-09	-1.41823973600645e-17	4.32493366482891e-26
"genome_259"	904526.508349365	-0.0442228910407428	8.09856300892775e-10	-6.58396183873423e-18	2.00493285997528e-26
"genome_26"	1465252.48932274	-0.0717235430910655	1.3154321276139e-09	-1.07131654979972e-17	3.26907539025021e-26
"genome_260"	1498809.10010665	-0.0736458331801444	1.35579067181985e-09	-1.10832132897175e-17	3.39455796767896e-26
"genome_261"	1131092.15425476	-0.0554280639421969	1.01755130251581e-09	-8.29397246667911e-18	2.53258377811598e-26
"genome_262"	1266734.43147799	-0.0620679998940797	1.13938668786489e-09	-9.28711326624977e-18	2.83603559468284e-26
"genome_263"	1440829.04890904	-0.0707236270733038	1.30060688188943e-09	-1.0620446031115e-17	3.24915560589082e-26
"genome_264"	1108492.59515867	-0.0541648682304106	9.91391568838625e-10	-8.05561557539168e-18	2.45184086116435e-26
"genome_265"	1296366.05932117	-0.0635715569885466	1.16790619142679e-09	-9.52683828030337e-18	2.91139698986882e-26
"genome_266"	516384.607476151	-0.0249387182538335	4.50690566753254e-10	-3.61190656488202e-18	1.08299978797243e-26
"genome_267"	1334324.36106104	-0.0655417113464204	1.20617816409666e-09	-9.85662030509343e-18	3.01774920294774e-26
"genome_268"	1228101.27756185	-0.0600753379897288	1.10092553781096e-09	-8.95785686220111e-18	2.73054836401419e-26
"genome_269"	1445974.93551576	-0.0709637243531127	1.30478993186133e-09	-1.06526801961943e-17	3.25841890751324e-26
"genome_27"	1360835.58820135	-0.0665311185104571	1.21857843813576e-09	-9.91006108739764e-18	3.01931438234792e-26
"genome_270"	1269736.44148339	-0.0620792837628678	1.13698575798762e-09	-9.24532538286188e-18	2.81619153090016e-26
"genome_271"	1711482.23703864	-0.0835263652504713	1.52737857493508e-09	-1.240298682152e-17	3.77377958662834e-26
"genome_272"	1192949.44137999	-0.0584629372497768	1.07333135882308e-09	-8.7491659122296e-18	2.67174251088356e-26
"genome_273"	1262489.25593829	-0.0618534766469727	1.1352841300182e-09	-9.25197492073583e-18	2.82468160052454e-26
"genome_274"	1362992.01437012	-0.0668098288725822	1.22689247419687e-09	-1.00040847142348e-17	3.05610854179978e-26
"genome_275"	1334392.47027046	-0.0655248402888896	1.20544518043584e-09	-9.84676695439712e-18	3.01342469048905e-26
"genome_276"	1339844.32358341	-0.0656645826314863	1.20570826353561e-09	-9.83043605295591e-18	3.00288218654935e-26
"genome_277"	1561470.13565962	-0.0765157481527313	1.4047978157175e-09	-1.14526876384325e-17	3.49821287259373e-26
"genome_278"	1349649.53316017	-0.0662673961678381	1.21899974501191e-09	-9.95675134716756e-18	3.04689614998271e-26
"genome_279"	1642059.93348422	-0.0803327221853269	1.47249163161081e-09	-1.19854713729284e-17	3.65522561831103e-26
"genome_28"	1533753.71402517	-0.0754632680063953	1.39114448304995e-09	-1.13881101419414e-17	3.49292968234339e-26
"genome_280"	995956.45868789	-0.0488949920891398	8.99188880397983e-10	-7.34150055364973e-18	2.24533906240775e-26
"genome_281"	907469.252593247	-0.044746661042303	8.26280705918994e-10	-6.77212392393313e-18	2.07862003958979e-26
"genome_282"	1415820.87568751	-0.0695243852545306	1.27911818433751e-09	-1.04499635691185e-17	3.19864050257859e-26
"genome_283"	1145341.92238653	-0.0561956673608846	1.03283790445448e-09	-8.42771694355934e-18	2.57604449581495e-26
"genome_284"	1536807.89407935	-0.0753494228476665	1.38407772881679e-09	-1.12887595249726e-17	3.44946810607587e-26
"genome_285"	1313288.17585601	-0.0643879386137634	1.18265650483203e-09	-9.64511754267042e-18	2.94690851291733e-26
"genome_286"	1405616.79360051	-0.0686611003715709	1.25656312663984e-09	-1.02110842639334e-17	3.10876398646133e-26
"genome_287"	1232621.45252874	-0.0604150455838768	1.10933757952151e-09	-9.04420846711093e-18	2.76236408467509e-26
"genome_288"	1567423.96334233	-0.0767928104344222	1.40960268999937e-09	-1.1489466463555e-17	3.50868803102851e-26
"genome_289"	1443243.99176822	-0.0707667957825574	1.30004114831109e-09	-1.06049346215506e-17	3.24114027111057e-26
"genome_29"	1210916.84075979	-0.0593811500849223	1.09093108060902e-09	-8.89910166648526e-18	2.71963843814557e-26
"genome_290"	859856.179279423	-0.0419698694098396	7.672003250691e-10	-6.2247085863902e-18	1.89138201448211e-26
"genome_291"	860100.722284464	-0.0422918289261994	7.78785877336226e-10	-6.36536584245791e-18	1.94846533282309e-26
"genome_292"	1447903.60335647	-0.0708835117029177	1.30016515245001e-09	-1.05897335311882e-17	3.23161905009308e-26
"genome_293"	1482084.67783347	-0.0727825729904181	1.33913229913028e-09	-1.09407581833384e-17	3.34900159813604e-26
"genome_294"	571814.910866757	-0.0282811804468852	5.23611626713378e-10	-4.30119329079588e-18	1.32271650507652e-26
"genome_295"	1712902.61401862	-0.0837665498468922	1.53488527457809e-09	-1.24891621771317e-17	3.80765195883155e-26
"genome_296"	1737856.49971711	-0.0849574039084797	1.55616859573232e-09	-1.26579945412121e-17	3.85780655359838e-26
"genome_297"	1547602.6562211	-0.076023982988033	1.39921165071113e-09	-1.1435197705108e-17	3.50144345774403e-26
"genome_298"	1399194.76875392	-0.0684390893958575	1.25413435803177e-09	-1.02042849279884e-17	3.11053253736973e-26
"genome_299"	1094627.76840138	-0.0536422903312656	9.84797881389478e-10	-8.02732530681894e-18	2.45128668398331e-26
"genome_3"	1372542.43355066	-0.0672690726273828	1.23522994432821e-09	-1.00718196436912e-17	3.07688231683956e-26
"genome_30"	806046.564859019	-0.0395682141634689	7.27546392361632e-10	-5.93865170100262e-18	1.81570071072575e-26
"genome_300"	1440906.7725383	-0.0706869322316648	1.29915280062982e-09	-1.06019204224323e-17	3.24136226106165e-26
"genome_301"	1422319.06919914	-0.0696946222328965	1.27947423895537e-09	-1.04298664289593e-17	3.18534049395725e-26
"genome_302"	938236.832741713	-0.0459174670323173	8.41698009614027e-10	-6.84904356872537e-18	2.08743138164935e-26
"genome_303"	713848.69343365	-0.0348359106159306	6.36594123455265e-10	-5.16285063121565e-18	1.56789436631889e-26
"genome_304"	1292905.20553199	-0.0634296266551299	1.165810042856e-09	-9.51390303068254e-18	2.90870918343097e-26
"genome_305"	698775.876656843	-0.0340078720422362	6.19717585873375e-10	-5.01135909888864e-18	1.51729699142459e-26
"genome_306"	1094580.11769418	-0.0537590044634891	9.89143317492815e-10	-8.08084881316722e-18	2.47320694659682e-26
"genome_307"	1275811.16221409	-0.0625513680636544	1.14894057784905e-09	-9.37031750320381e-18	2.86301055911646e-26
"genome_308"	963441.26493808	-0.0471091303252518	8.62842752841972e-10	-7.01597495069702e-18	2.13691961645681e-26
"genome_309"	1191165.1314968	-0.0583178263771002	1.06959272236751e-09	-8.70977530774738e-18	2.65693471530772e-26
"genome_31"	914646.442798518	-0.0446344849379509	8.15728795921662e-10	-6.61694130252665e-18	2.01008402009723e-26
"genome_310"	1795744.00214637	-0.087822479414908	1.60929821621392e-09	-1.30954942821437e-17	3.9927892294832e-26
"genome_311"	1955175.65442327	-0.095596100317162	1.75138426477896e-09	-1.42493439847431e-17	4.34405365547591e-26
