position	numhm	numht	length
8217298	0	0	809
8256451	2	0	39153
8291878	0	0	35427
8684914	6	24	393036
8754217	0	2	69303
8786522	0	0	32305
8924704	0	0	138182
8946800	0	0	22096
8990763	0	2	43963
9002013	0	0	11250
9032136	0	1	30123
9160548	0	9	128412
9161346	0	0	798
9282053	0	22	120707
9295478	0	3	13425
9323425	0	0	27947
9351053	0	0	27628
9377586	0	0	26533
9384629	0	0	7043
9385585	0	0	956
9386099	0	0	514
9387222	0	0	1123
9497138	1	0	109916
9655232	1	1	158094
9671122	0	0	15890
9677615	0	0	6493
9698877	0	0	21262
9761839	0	1	62962
10302923	9	14	541084
10344296	1	0	41373
10557460	4	2	213164
10566908	0	0	9448
10594267	0	0	27359
10791326	2	0	197059
10870224	1	11	78898
