"fragment"	"length"	"numhm"	"numht"	"file"
"seq_id_5202"	5081	1	0	"genome_138"
"seq_id_5275"	16694	1	0	"genome_139"
"seq_id_5159"	21312	1	0	"genome_14"
"seq_id_5161"	1041	1	0	"genome_140"
"seq_id_5155"	173154	1	0	"genome_141"
"seq_id_5002"	37978	1	0	"genome_142"
"seq_id_4851"	31661	1	0	"genome_143"
"seq_id_5032"	61120	1	0	"genome_144"
"seq_id_5227"	38617	1	0	"genome_145"
"seq_id_4914"	11074	1	0	"genome_146"
"seq_id_5102"	32254	1	0	"genome_147"
"seq_id_4960"	389228	2	0	"genome_148"
"seq_id_5302"	93672	1	0	"genome_149"
"seq_id_5285"	1486	1	0	"genome_15"
"seq_id_5063"	244118	2	0	"genome_150"
"seq_id_5157"	9790	1	0	"genome_151"
"seq_id_4982"	12804	1	0	"genome_152"
"seq_id_5093"	107186	1	0	"genome_153"
"seq_id_5227"	237715	1	0	"genome_154"
"seq_id_4926"	108761	1	0	"genome_155"
"seq_id_5155"	49499	1	0	"genome_156"
"seq_id_5249"	164855	1	0	"genome_157"
"seq_id_4920"	5818	1	0	"genome_158"
"seq_id_5220"	4095	1	0	"genome_159"
"seq_id_5107"	26290	1	0	"genome_16"
"seq_id_5022"	120712	1	0	"genome_160"
"seq_id_5265"	16870	1	0	"genome_161"
"seq_id_5262"	18161	1	0	"genome_162"
"seq_id_5162"	8994	1	0	"genome_163"
"seq_id_4929"	63598	1	0	"genome_164"
"seq_id_5191"	30455	1	0	"genome_165"
"seq_id_5239"	29084	1	0	"genome_166"
"seq_id_5028"	200953	1	0	"genome_167"
"seq_id_5249"	879	1	0	"genome_168"
"seq_id_5013"	23559	1	0	"genome_169"
"seq_id_5254"	6470	1	0	"genome_17"
"seq_id_5158"	12277	1	0	"genome_170"
"seq_id_5183"	55458	1	0	"genome_171"
"seq_id_5430"	18415	1	0	"genome_172"
"seq_id_4884"	60161	1	0	"genome_173"
"seq_id_5241"	105687	1	0	"genome_174"
"seq_id_5106"	42551	1	0	"genome_175"
"seq_id_5062"	165752	1	0	"genome_176"
"seq_id_4799"	125688	1	0	"genome_177"
"seq_id_4930"	9092	1	0	"genome_178"
"seq_id_5238"	8294	1	0	"genome_179"
"seq_id_5079"	5157	1	0	"genome_18"
"seq_id_4735"	481395	2	0	"genome_180"
"seq_id_4800"	45471	1	0	"genome_181"
"seq_id_5225"	4189	1	0	"genome_182"
"seq_id_5190"	8017	1	0	"genome_183"
"seq_id_4931"	14740	1	0	"genome_184"
"seq_id_5141"	298106	2	0	"genome_185"
"seq_id_4955"	9483	1	0	"genome_186"
"seq_id_5139"	8461	1	0	"genome_187"
"seq_id_5118"	131139	1	0	"genome_188"
"seq_id_4719"	139344	1	0	"genome_189"
"seq_id_4939"	11751	1	0	"genome_19"
"seq_id_5063"	59921	1	0	"genome_190"
"seq_id_5363"	10111	1	0	"genome_191"
"seq_id_4987"	37768	1	0	"genome_192"
"seq_id_5131"	14071	1	0	"genome_193"
"seq_id_5151"	233575	1	0	"genome_194"
"seq_id_5139"	24988	1	0	"genome_195"
"seq_id_4920"	23337	1	0	"genome_196"
"seq_id_5469"	23984	1	0	"genome_197"
"seq_id_4808"	13735	1	0	"genome_198"
"seq_id_4844"	3129	1	0	"genome_199"
"seq_id_5032"	55347	1	0	"genome_2"
"seq_id_5153"	164956	1	0	"genome_20"
"seq_id_5166"	8745	1	0	"genome_200"
"seq_id_5067"	248703	1	0	"genome_201"
"seq_id_5030"	134722	1	0	"genome_202"
"seq_id_4963"	33777	1	0	"genome_203"
"seq_id_5132"	284404	2	0	"genome_204"
"seq_id_5399"	32035	1	0	"genome_205"
"seq_id_5246"	17429	1	0	"genome_206"
"seq_id_5369"	12686	1	0	"genome_207"
"seq_id_5309"	45832	1	0	"genome_208"
"seq_id_5006"	67872	1	0	"genome_209"
"seq_id_5119"	53964	1	0	"genome_21"
"seq_id_4732"	304065	2	0	"genome_210"
"seq_id_5117"	3938	1	0	"genome_211"
"seq_id_5157"	1504	1	0	"genome_212"
"seq_id_5114"	16435	1	0	"genome_213"
"seq_id_4732"	30347	1	0	"genome_214"
"seq_id_5146"	69796	1	0	"genome_215"
"seq_id_4946"	8004	1	0	"genome_216"
"seq_id_4876"	357452	2	0	"genome_217"
"seq_id_5185"	20952	1	0	"genome_218"
"seq_id_5349"	46414	1	0	"genome_219"
"seq_id_5129"	98384	1	0	"genome_22"
"seq_id_5158"	11582	1	0	"genome_220"
"seq_id_4990"	11047	1	0	"genome_221"
"seq_id_5044"	22921	1	0	"genome_222"
"seq_id_5034"	327778	2	0	"genome_223"
"seq_id_4874"	56018	1	0	"genome_224"
"seq_id_5373"	20104	1	0	"genome_225"
"seq_id_5061"	6522	1	0	"genome_226"
"seq_id_5156"	39236	1	0	"genome_227"
"seq_id_4824"	17854	1	0	"genome_228"
"seq_id_5048"	2411	1	0	"genome_229"
"seq_id_5063"	2976	1	0	"genome_23"
"seq_id_5126"	125749	1	0	"genome_230"
"seq_id_4901"	11387	1	0	"genome_231"
"seq_id_5171"	19777	1	0	"genome_232"
"seq_id_5144"	127263	1	0	"genome_233"
"seq_id_5049"	59245	1	0	"genome_234"
"seq_id_5244"	126946	1	0	"genome_235"
"seq_id_5241"	39707	1	0	"genome_236"
"seq_id_5302"	16826	1	0	"genome_237"
"seq_id_5041"	72731	1	0	"genome_238"
"seq_id_4955"	10055	1	0	"genome_239"
"seq_id_5077"	30699	1	0	"genome_24"
"seq_id_5027"	104106	1	0	"genome_240"
"seq_id_5277"	2564	1	0	"genome_241"
"seq_id_4881"	49344	1	0	"genome_242"
"seq_id_4862"	74582	1	0	"genome_243"
"seq_id_5274"	52274	1	0	"genome_244"
"seq_id_5194"	3977	1	0	"genome_245"
"seq_id_5264"	4442	1	0	"genome_246"
"seq_id_5204"	70742	1	0	"genome_247"
"seq_id_5094"	27253	1	0	"genome_248"
"seq_id_4938"	36770	1	0	"genome_249"
"seq_id_4824"	2057	1	0	"genome_25"
"seq_id_5020"	50017	1	0	"genome_250"
"seq_id_5200"	55666	1	0	"genome_251"
"seq_id_5145"	47955	1	0	"genome_252"
"seq_id_5260"	23649	1	0	"genome_253"
"seq_id_5246"	23533	1	0	"genome_254"
"seq_id_5001"	1970	1	0	"genome_255"
"seq_id_5375"	45115	1	0	"genome_256"
"seq_id_5216"	7703	1	0	"genome_257"
"seq_id_5041"	123436	1	0	"genome_258"
"seq_id_5060"	19119	1	0	"genome_259"
"seq_id_5137"	8855	1	0	"genome_26"
"seq_id_5152"	44557	1	0	"genome_260"
"seq_id_5217"	9939	1	0	"genome_261"
"seq_id_5095"	22467	1	0	"genome_262"
"seq_id_5044"	49271	1	0	"genome_263"
"seq_id_5238"	11488	1	0	"genome_264"
"seq_id_5102"	74266	1	0	"genome_265"
"seq_id_4992"	23254	1	0	"genome_266"
"seq_id_5158"	44594	1	0	"genome_267"
"seq_id_4903"	10158	1	0	"genome_268"
"seq_id_5396"	15743	1	0	"genome_269"
"seq_id_5191"	21118	1	0	"genome_27"
"seq_id_4972"	199574	1	0	"genome_270"
"seq_id_4808"	12978	1	0	"genome_271"
"seq_id_4921"	82438	1	0	"genome_272"
"seq_id_4998"	17981	1	0	"genome_273"
"seq_id_5025"	106827	1	0	"genome_274"
"seq_id_4892"	56027	1	0	"genome_275"
"seq_id_5375"	42858	1	0	"genome_276"
"seq_id_4937"	22521	1	0	"genome_277"
"seq_id_4968"	2210	1	0	"genome_278"
"seq_id_5073"	5717	1	0	"genome_279"
"seq_id_5226"	35429	1	0	"genome_28"
"seq_id_5037"	5087	1	0	"genome_280"
"seq_id_5062"	80673	1	0	"genome_281"
"seq_id_5162"	37828	1	0	"genome_282"
"seq_id_5072"	5415	1	0	"genome_283"
"seq_id_5077"	4302	1	0	"genome_284"
"seq_id_5002"	73835	1	0	"genome_285"
"seq_id_5063"	4889	1	0	"genome_286"
"seq_id_5256"	3754	1	0	"genome_287"
"seq_id_4990"	6985	1	0	"genome_288"
"seq_id_5143"	15395	1	0	"genome_289"
"seq_id_5415"	84288	1	0	"genome_29"
"seq_id_5144"	539	1	0	"genome_290"
"seq_id_5021"	57031	1	0	"genome_291"
"seq_id_5295"	35091	1	0	"genome_292"
"seq_id_5361"	90741	1	0	"genome_293"
"seq_id_5191"	10150	1	0	"genome_294"
"seq_id_4784"	1597	1	0	"genome_295"
"seq_id_5295"	68508	1	0	"genome_296"
"seq_id_5143"	14502	1	0	"genome_297"
"seq_id_5221"	37436	1	0	"genome_298"
"seq_id_5175"	5948	1	0	"genome_299"
"seq_id_4958"	32246	1	0	"genome_3"
"seq_id_5070"	83304	1	0	"genome_30"
"seq_id_5248"	113272	1	0	"genome_300"
"seq_id_4986"	234790	1	0	"genome_301"
"seq_id_4947"	8397	1	0	"genome_302"
"seq_id_5287"	114173	1	0	"genome_303"
"seq_id_5128"	38244	1	0	"genome_304"
"seq_id_4967"	66205	1	0	"genome_305"
"seq_id_5171"	34413	1	0	"genome_306"
"seq_id_4940"	52150	1	0	"genome_307"
"seq_id_5156"	4507	1	0	"genome_308"
"seq_id_4971"	352819	2	0	"genome_309"
"seq_id_5058"	27977	1	0	"genome_31"
"seq_id_5389"	68625	1	0	"genome_310"
"seq_id_5379"	46586	1	0	"genome_311"
"seq_id_5185"	43170	1	0	"genome_312"
"seq_id_5143"	15454	1	0	"genome_313"
"seq_id_5167"	115179	1	0	"genome_314"
"seq_id_5306"	1746	1	0	"genome_315"
"seq_id_5391"	4748	1	0	"genome_316"
"seq_id_5195"	1515	1	0	"genome_317"
"seq_id_5121"	35563	1	0	"genome_318"
"seq_id_5185"	39395	1	0	"genome_319"
"seq_id_5088"	494906	1	0	"genome_32"
"seq_id_5019"	57749	1	0	"genome_320"
"seq_id_5129"	140977	1	0	"genome_321"
"seq_id_5128"	2141	1	0	"genome_322"
"seq_id_5074"	80414	1	0	"genome_323"
"seq_id_4995"	56199	1	0	"genome_324"
"seq_id_5162"	93315	1	0	"genome_325"
"seq_id_5093"	4414	1	0	"genome_326"
"seq_id_5232"	431663	2	0	"genome_327"
"seq_id_4937"	270756	2	0	"genome_328"
"seq_id_5232"	10019	1	0	"genome_329"
"seq_id_5076"	6858	1	0	"genome_33"
"seq_id_5133"	4266	1	0	"genome_330"
"seq_id_5014"	102911	1	0	"genome_331"
"seq_id_5127"	5093	1	0	"genome_332"
"seq_id_4795"	15147	1	0	"genome_333"
"seq_id_5158"	26279	1	0	"genome_334"
"seq_id_5134"	9135	1	0	"genome_335"
"seq_id_5137"	112763	1	0	"genome_336"
"seq_id_5283"	26239	1	0	"genome_337"
"seq_id_5112"	130477	1	0	"genome_338"
"seq_id_5081"	11603	1	0	"genome_339"
"seq_id_5047"	18018	1	0	"genome_34"
"seq_id_5203"	1628	1	0	"genome_340"
"seq_id_4861"	60346	1	0	"genome_341"
"seq_id_5393"	130668	1	0	"genome_342"
"seq_id_5259"	104906	1	0	"genome_343"
"seq_id_5430"	59305	1	0	"genome_344"
"seq_id_5206"	3387	1	0	"genome_345"
"seq_id_5304"	893	1	0	"genome_346"
"seq_id_5018"	16059	1	0	"genome_347"
"seq_id_5034"	158523	1	0	"genome_348"
"seq_id_5252"	198872	1	0	"genome_349"
"seq_id_4725"	9718	1	0	"genome_35"
"seq_id_5036"	63862	1	0	"genome_350"
"seq_id_5151"	74457	1	0	"genome_351"
"seq_id_4924"	11126	1	0	"genome_352"
"seq_id_5293"	60680	1	0	"genome_353"
"seq_id_4742"	267497	2	0	"genome_354"
"seq_id_4889"	112592	1	0	"genome_355"
"seq_id_4836"	135119	1	0	"genome_356"
"seq_id_5099"	33744	1	0	"genome_357"
"seq_id_4845"	9290	1	0	"genome_358"
"seq_id_5344"	1979	1	0	"genome_359"
"seq_id_4933"	22875	1	0	"genome_36"
"seq_id_5322"	1622	1	0	"genome_360"
"seq_id_5133"	11147	1	0	"genome_361"
"seq_id_5236"	9113	1	0	"genome_362"
"seq_id_4958"	20395	1	0	"genome_363"
"seq_id_5041"	182533	1	0	"genome_364"
"seq_id_5058"	1206	1	0	"genome_365"
"seq_id_5304"	13619	1	0	"genome_366"
"seq_id_5233"	105195	1	0	"genome_367"
"seq_id_5133"	57877	1	0	"genome_368"
"seq_id_5395"	117790	1	0	"genome_369"
"seq_id_5256"	30962	1	0	"genome_37"
"seq_id_5032"	33547	1	0	"genome_370"
"seq_id_5239"	36647	1	0	"genome_371"
"seq_id_5331"	33104	1	0	"genome_372"
"seq_id_5121"	41227	1	0	"genome_373"
"seq_id_5014"	391434	2	0	"genome_374"
"seq_id_5123"	94955	1	0	"genome_375"
"seq_id_5111"	7653	1	0	"genome_376"
"seq_id_5031"	364058	2	0	"genome_377"
"seq_id_5337"	74404	1	0	"genome_378"
"seq_id_5215"	41862	1	0	"genome_379"
"seq_id_4899"	110317	1	0	"genome_38"
"seq_id_5022"	7725	1	0	"genome_380"
"seq_id_5148"	9717	1	0	"genome_381"
"seq_id_4801"	20846	1	0	"genome_382"
"seq_id_5154"	30029	1	0	"genome_383"
"seq_id_5058"	61874	1	0	"genome_384"
"seq_id_5129"	5232	1	0	"genome_385"
"seq_id_4944"	10273	1	0	"genome_386"
"seq_id_5090"	2735	1	0	"genome_387"
"seq_id_5007"	493698	2	0	"genome_388"
"seq_id_4955"	1846	1	0	"genome_389"
"seq_id_5218"	129207	1	0	"genome_39"
"seq_id_5203"	10572	1	0	"genome_390"
"seq_id_4946"	31244	1	0	"genome_391"
"seq_id_4930"	13857	1	0	"genome_392"
"seq_id_5072"	12897	1	0	"genome_393"
"seq_id_5218"	217891	1	0	"genome_394"
"seq_id_5110"	16535	1	0	"genome_395"
"seq_id_5061"	19463	1	0	"genome_396"
"seq_id_4885"	357931	1	0	"genome_397"
"seq_id_5278"	45945	1	0	"genome_398"
"seq_id_5161"	123895	1	0	"genome_399"
"seq_id_5050"	56578	1	0	"genome_4"
"seq_id_5102"	50905	1	0	"genome_40"
"seq_id_5203"	165679	1	0	"genome_400"
"seq_id_4997"	62791	1	0	"genome_401"
"seq_id_5246"	3893	1	0	"genome_402"
"seq_id_4854"	962	1	0	"genome_403"
"seq_id_5324"	140832	1	0	"genome_404"
"seq_id_5038"	2069	1	0	"genome_405"
"seq_id_5174"	28631	1	0	"genome_406"
"seq_id_5159"	78443	1	0	"genome_407"
"seq_id_5076"	4148	1	0	"genome_408"
"seq_id_5178"	44647	1	0	"genome_409"
"seq_id_5139"	16013	1	0	"genome_41"
"seq_id_4731"	72602	1	0	"genome_410"
"seq_id_5020"	208590	1	0	"genome_411"
"seq_id_4839"	9353	1	0	"genome_412"
"seq_id_4760"	27854	1	0	"genome_413"
"seq_id_5185"	64667	1	0	"genome_414"
"seq_id_5433"	1512	1	0	"genome_415"
"seq_id_4947"	92651	1	0	"genome_416"
"seq_id_4763"	328046	2	0	"genome_417"
"seq_id_5064"	39693	1	0	"genome_418"
"seq_id_5262"	224099	1	0	"genome_419"
"seq_id_4860"	1251	1	0	"genome_42"
"seq_id_5120"	18188	1	0	"genome_420"
"seq_id_5247"	43822	1	0	"genome_421"
"seq_id_5282"	255406	1	0	"genome_422"
"seq_id_5247"	11061	1	0	"genome_423"
"seq_id_4909"	14178	1	0	"genome_424"
"seq_id_5138"	12503	1	0	"genome_425"
"seq_id_4844"	432911	2	0	"genome_426"
"seq_id_4977"	17623	1	0	"genome_427"
"seq_id_5033"	56843	1	0	"genome_428"
"seq_id_5085"	13194	1	0	"genome_429"
"seq_id_4973"	32239	1	0	"genome_43"
"seq_id_4861"	69360	1	0	"genome_430"
"seq_id_5101"	156882	1	0	"genome_431"
"seq_id_5273"	52553	1	0	"genome_432"
"seq_id_4940"	23803	1	0	"genome_433"
"seq_id_5009"	25856	1	0	"genome_434"
"seq_id_5047"	25107	1	0	"genome_435"
"seq_id_5088"	9735	1	0	"genome_436"
"seq_id_5349"	338533	2	0	"genome_437"
"seq_id_5023"	7261	1	0	"genome_438"
"seq_id_4971"	32968	1	0	"genome_439"
"seq_id_4999"	1932	1	0	"genome_44"
"seq_id_5085"	71156	1	0	"genome_440"
"seq_id_4688"	66137	1	0	"genome_441"
"seq_id_5081"	66626	1	0	"genome_442"
"seq_id_4945"	1774	1	0	"genome_443"
"seq_id_5056"	101700	1	0	"genome_444"
"seq_id_5083"	64277	1	0	"genome_445"
"seq_id_4823"	12208	1	0	"genome_446"
"seq_id_5088"	101269	1	0	"genome_447"
"seq_id_5064"	85359	1	0	"genome_448"
"seq_id_5100"	9220	1	0	"genome_449"
"seq_id_4675"	85337	1	0	"genome_45"
"seq_id_4987"	13526	1	0	"genome_450"
"seq_id_5015"	1434	1	0	"genome_451"
"seq_id_5024"	23696	1	0	"genome_452"
"seq_id_5229"	43926	1	0	"genome_453"
"seq_id_5280"	334108	1	0	"genome_454"
"seq_id_5272"	94115	1	0	"genome_455"
"seq_id_5002"	6178	1	0	"genome_456"
"seq_id_5152"	2427	1	0	"genome_457"
"seq_id_4885"	14264	1	0	"genome_458"
"seq_id_5019"	936	1	0	"genome_459"
"seq_id_5046"	2900	1	0	"genome_46"
"seq_id_4953"	388617	2	0	"genome_460"
"seq_id_4937"	173709	1	0	"genome_461"
"seq_id_5221"	40050	1	0	"genome_462"
"seq_id_5104"	23063	1	0	"genome_463"
"seq_id_5352"	26538	1	0	"genome_464"
"seq_id_5123"	229308	1	0	"genome_465"
"seq_id_5092"	33089	1	0	"genome_466"
"seq_id_4892"	492089	2	0	"genome_467"
"seq_id_5158"	18887	1	0	"genome_468"
"seq_id_5216"	179060	1	0	"genome_469"
"seq_id_5016"	5594	1	0	"genome_47"
"seq_id_5062"	100799	1	0	"genome_470"
"seq_id_5097"	13523	1	0	"genome_471"
"seq_id_5204"	45629	1	0	"genome_472"
"seq_id_5075"	6691	1	0	"genome_473"
"seq_id_5357"	10516	1	0	"genome_474"
"seq_id_5171"	125551	1	0	"genome_475"
"seq_id_4874"	23869	1	0	"genome_476"
"seq_id_5246"	30006	1	0	"genome_477"
"seq_id_5301"	5128	1	0	"genome_478"
"seq_id_5039"	35067	1	0	"genome_479"
"seq_id_4891"	1049	1	0	"genome_48"
"seq_id_5039"	246736	2	0	"genome_480"
"seq_id_5316"	38078	1	0	"genome_481"
"seq_id_4956"	137101	1	0	"genome_482"
"seq_id_5145"	287293	2	0	"genome_483"
"seq_id_5309"	92166	1	0	"genome_484"
"seq_id_4808"	1535	1	0	"genome_485"
"seq_id_5143"	4076	1	0	"genome_486"
"seq_id_5240"	37680	1	0	"genome_487"
"seq_id_5079"	3177	1	0	"genome_488"
"seq_id_4911"	9367	1	0	"genome_489"
"seq_id_4987"	12170	1	0	"genome_49"
"seq_id_5446"	15523	1	0	"genome_490"
"seq_id_4984"	7468	1	0	"genome_491"
"seq_id_4837"	33515	1	0	"genome_492"
"seq_id_5086"	40886	1	0	"genome_493"
"seq_id_5109"	8528	1	0	"genome_494"
"seq_id_5142"	7290	1	0	"genome_495"
"seq_id_5159"	14282	1	0	"genome_496"
"seq_id_5123"	19219	1	0	"genome_497"
"seq_id_4935"	2086	1	0	"genome_498"
"seq_id_5349"	102312	1	0	"genome_499"
"seq_id_5190"	3599	1	0	"genome_5"
"seq_id_5225"	1654	1	0	"genome_50"
"seq_id_5094"	100450	1	0	"genome_500"
"seq_id_5087"	105311	1	0	"genome_501"
"seq_id_5205"	5346	1	0	"genome_502"
"seq_id_5140"	16800	1	0	"genome_503"
"seq_id_4907"	8882	1	0	"genome_504"
"seq_id_5107"	52871	1	0	"genome_505"
"seq_id_5013"	212326	2	0	"genome_506"
"seq_id_4853"	3420	1	0	"genome_507"
"seq_id_4869"	77216	1	0	"genome_508"
"seq_id_5261"	105039	1	0	"genome_509"
"seq_id_5135"	8020	1	0	"genome_51"
"seq_id_5130"	64174	1	0	"genome_510"
"seq_id_4805"	24036	1	0	"genome_511"
"seq_id_4919"	17426	1	0	"genome_512"
"seq_id_4985"	21953	1	0	"genome_513"
"seq_id_5269"	103451	1	0	"genome_514"
"seq_id_5274"	174607	2	0	"genome_515"
"seq_id_5179"	28119	1	0	"genome_516"
"seq_id_5012"	1133	1	0	"genome_517"
"seq_id_5207"	32093	1	0	"genome_518"
"seq_id_5126"	28330	1	0	"genome_519"
"seq_id_5022"	82770	1	0	"genome_52"
"seq_id_5066"	25377	1	0	"genome_520"
"seq_id_5376"	1358	1	0	"genome_521"
"seq_id_5286"	33047	1	0	"genome_522"
"seq_id_5181"	13200	1	0	"genome_523"
"seq_id_5108"	10862	1	0	"genome_524"
"seq_id_5026"	36530	1	0	"genome_525"
"seq_id_5289"	8136	1	0	"genome_526"
"seq_id_5132"	13491	1	0	"genome_527"
"seq_id_5269"	3391	1	0	"genome_528"
"seq_id_4876"	13991	1	0	"genome_529"
"seq_id_4988"	42020	1	0	"genome_53"
"seq_id_5265"	71604	1	0	"genome_530"
"seq_id_5188"	12520	1	0	"genome_531"
"seq_id_4703"	4274	1	0	"genome_532"
"seq_id_4989"	26314	1	0	"genome_533"
"seq_id_5289"	15100	1	0	"genome_534"
"seq_id_5433"	6052	1	0	"genome_535"
"seq_id_5438"	7315	1	0	"genome_536"
"seq_id_5257"	6983	1	0	"genome_537"
"seq_id_5103"	369589	1	0	"genome_538"
"seq_id_4891"	6424	1	0	"genome_539"
"seq_id_5331"	24008	1	0	"genome_54"
"seq_id_4899"	254657	1	0	"genome_540"
"seq_id_4915"	56239	1	0	"genome_541"
"seq_id_5159"	39521	1	0	"genome_542"
"seq_id_4880"	109220	1	0	"genome_543"
"seq_id_4920"	4329	1	0	"genome_544"
"seq_id_4977"	147110	1	0	"genome_545"
"seq_id_5061"	57401	1	0	"genome_546"
"seq_id_5243"	14046	1	0	"genome_547"
"seq_id_5054"	24083	1	0	"genome_548"
"seq_id_5025"	2826	1	0	"genome_549"
"seq_id_5013"	1931	1	0	"genome_55"
"seq_id_5432"	4277	1	0	"genome_550"
"seq_id_5298"	9292	1	0	"genome_551"
"seq_id_5141"	13408	1	0	"genome_552"
"seq_id_5068"	16239	1	0	"genome_553"
"seq_id_5007"	23392	1	0	"genome_554"
"seq_id_4932"	1681	1	0	"genome_555"
"seq_id_4984"	5087	1	0	"genome_556"
"seq_id_5072"	6972	1	0	"genome_557"
"seq_id_4990"	274081	1	0	"genome_558"
"seq_id_5201"	378990	2	0	"genome_559"
"seq_id_5004"	146573	1	0	"genome_56"
"seq_id_5145"	68164	1	0	"genome_560"
"seq_id_5184"	76482	1	0	"genome_561"
"seq_id_4995"	88230	1	0	"genome_562"
"seq_id_4957"	158680	1	0	"genome_563"
"seq_id_5090"	30347	1	0	"genome_564"
"seq_id_5201"	37276	1	0	"genome_565"
"seq_id_4828"	67618	1	0	"genome_566"
"seq_id_4940"	19790	1	0	"genome_567"
"seq_id_5347"	1738	1	0	"genome_568"
"seq_id_5021"	133668	1	0	"genome_569"
"seq_id_5110"	29840	1	0	"genome_57"
"seq_id_4781"	207234	1	0	"genome_570"
"seq_id_4971"	69075	1	0	"genome_571"
"seq_id_5070"	2155	1	0	"genome_572"
"seq_id_5113"	154654	1	0	"genome_573"
"seq_id_5076"	326088	1	0	"genome_574"
"seq_id_5052"	50199	1	0	"genome_575"
"seq_id_5103"	31487	1	0	"genome_576"
"seq_id_5067"	7473	1	0	"genome_577"
"seq_id_5182"	7574	1	0	"genome_578"
"seq_id_5140"	3788	1	0	"genome_579"
"seq_id_4940"	21274	1	0	"genome_58"
"seq_id_5293"	392667	2	0	"genome_580"
"seq_id_5212"	165495	1	0	"genome_581"
"seq_id_5273"	35176	1	0	"genome_582"
"seq_id_5203"	222767	2	0	"genome_583"
"seq_id_5036"	16719	1	0	"genome_584"
"seq_id_5227"	295974	2	0	"genome_585"
"seq_id_5165"	23138	1	0	"genome_586"
"seq_id_4765"	6745	1	0	"genome_587"
"seq_id_5039"	2540	1	0	"genome_588"
"seq_id_5055"	50053	1	0	"genome_589"
"seq_id_5291"	113368	1	0	"genome_59"
"seq_id_5139"	57580	1	0	"genome_590"
"seq_id_5422"	4540	1	0	"genome_591"
"seq_id_5093"	38918	1	0	"genome_592"
"seq_id_5038"	191031	1	0	"genome_593"
"seq_id_4980"	40478	1	0	"genome_594"
"seq_id_5152"	9105	1	0	"genome_595"
"seq_id_5066"	17627	1	0	"genome_596"
"seq_id_4999"	4991	1	0	"genome_597"
"seq_id_4875"	52172	1	0	"genome_598"
"seq_id_5175"	95881	1	0	"genome_599"
"seq_id_5267"	12204	1	0	"genome_6"
"seq_id_5436"	242444	1	0	"genome_60"
"seq_id_5174"	18428	1	0	"genome_600"
"seq_id_5089"	13456	1	0	"genome_601"
"seq_id_5154"	48883	1	0	"genome_602"
"seq_id_5204"	384223	2	0	"genome_603"
"seq_id_5108"	61138	1	0	"genome_604"
"seq_id_5045"	5892	1	0	"genome_605"
"seq_id_5424"	7689	1	0	"genome_606"
"seq_id_4955"	7399	1	0	"genome_607"
"seq_id_5264"	494239	2	0	"genome_608"
"seq_id_5270"	22350	1	0	"genome_609"
"seq_id_5061"	15844	1	0	"genome_61"
"seq_id_5027"	36270	1	0	"genome_610"
"seq_id_5412"	84568	1	0	"genome_611"
"seq_id_4860"	17171	1	0	"genome_612"
"seq_id_5139"	1714	1	0	"genome_613"
"seq_id_5479"	8277	1	0	"genome_614"
"seq_id_5029"	39091	1	0	"genome_615"
"seq_id_5081"	495592	2	0	"genome_616"
"seq_id_5079"	4927	1	0	"genome_617"
"seq_id_5335"	42652	1	0	"genome_618"
"seq_id_4852"	25465	1	0	"genome_619"
"seq_id_5360"	15685	1	0	"genome_62"
"seq_id_5198"	27310	1	0	"genome_620"
