iterations	fragment
genome_312	seq_id_5185
genome_962	seq_id_5057
genome_852	seq_id_5218
genome_693	seq_id_5374
genome_956	seq_id_5002
genome_850	seq_id_5112
genome_708	seq_id_5278
genome_221	seq_id_4990
genome_295	seq_id_4784
genome_158	seq_id_4920
genome_618	seq_id_5335
genome_72	seq_id_5087
genome_390	seq_id_5203
genome_266	seq_id_4992
genome_777	seq_id_5071
genome_281	seq_id_5062
genome_634	seq_id_5058
genome_139	seq_id_5275
genome_484	seq_id_5309
genome_116	seq_id_4884
genome_235	seq_id_5244
genome_679	seq_id_5038
genome_112	seq_id_4928
genome_838	seq_id_4946
genome_179	seq_id_5238
genome_402	seq_id_5246
genome_639	seq_id_5420
genome_917	seq_id_5280
genome_444	seq_id_5056
genome_40	seq_id_5102
genome_725	seq_id_4895
genome_829	seq_id_4851
genome_366	seq_id_5304
genome_37	seq_id_5256
genome_245	seq_id_5194
genome_835	seq_id_5126
genome_356	seq_id_4836
genome_466	seq_id_5092
genome_680	seq_id_4868
genome_615	seq_id_5029
genome_340	seq_id_5203
genome_95	seq_id_4877
genome_33	seq_id_5076
genome_252	seq_id_5145
genome_162	seq_id_5262
genome_406	seq_id_5174
genome_324	seq_id_4995
genome_948	seq_id_4532
genome_151	seq_id_5157
genome_315	seq_id_5306
genome_700	seq_id_5454
genome_515	seq_id_5274
genome_260	seq_id_5152
genome_89	seq_id_5286
genome_821	seq_id_4979
genome_155	seq_id_4926
genome_636	seq_id_5008
genome_420	seq_id_5120
genome_769	seq_id_5255
genome_519	seq_id_5126
genome_212	seq_id_5157
genome_497	seq_id_5123
genome_97	seq_id_5186
genome_76	seq_id_4915
genome_951	seq_id_5091
genome_804	seq_id_5269
genome_922	seq_id_4862
genome_122	seq_id_5213
genome_657	seq_id_4914
genome_768	seq_id_5262
genome_691	seq_id_5041
genome_619	seq_id_4852
genome_888	seq_id_5341
genome_498	seq_id_4935
genome_605	seq_id_5045
genome_786	seq_id_4990
genome_544	seq_id_4920
genome_584	seq_id_5036
genome_478	seq_id_5301
genome_464	seq_id_5352
genome_926	seq_id_5262
genome_683	seq_id_5092
genome_766	seq_id_5177
genome_34	seq_id_5047
genome_839	seq_id_5147
genome_285	seq_id_5002
genome_468	seq_id_5158
genome_699	seq_id_5040
genome_870	seq_id_4999
genome_582	seq_id_5273
genome_374	seq_id_5014
genome_985	seq_id_5488
genome_667	seq_id_5126
genome_433	seq_id_4940
genome_647	seq_id_4968
genome_816	seq_id_4867
genome_592	seq_id_5093
genome_880	seq_id_5123
genome_990	seq_id_4968
genome_416	seq_id_4947
genome_756	seq_id_5194
genome_603	seq_id_5204
genome_291	seq_id_5021
genome_428	seq_id_5033
genome_210	seq_id_4732
genome_849	seq_id_4942
genome_705	seq_id_5315
genome_49	seq_id_4987
genome_117	seq_id_5040
genome_593	seq_id_5038
genome_871	seq_id_5146
genome_92	seq_id_5057
genome_144	seq_id_5032
genome_422	seq_id_5282
genome_539	seq_id_4891
genome_606	seq_id_5424
genome_624	seq_id_5058
genome_747	seq_id_5114
genome_980	seq_id_5127
genome_763	seq_id_5078
genome_784	seq_id_5122
genome_659	seq_id_5181
genome_293	seq_id_5361
genome_810	seq_id_5163
genome_940	seq_id_5170
genome_963	seq_id_4942
genome_274	seq_id_5025
genome_334	seq_id_5158
genome_654	seq_id_5201
genome_409	seq_id_5178
genome_255	seq_id_5001
genome_641	seq_id_5183
genome_177	seq_id_4799
genome_915	seq_id_5237
genome_62	seq_id_5360
genome_412	seq_id_4839
genome_451	seq_id_5015
genome_946	seq_id_5194
genome_244	seq_id_5274
genome_236	seq_id_5241
genome_696	seq_id_4911
genome_913	seq_id_5005
genome_503	seq_id_5140
genome_996	seq_id_4957
genome_383	seq_id_5154
genome_259	seq_id_5060
genome_936	seq_id_4913
genome_411	seq_id_5020
genome_873	seq_id_5286
genome_554	seq_id_5007
genome_863	seq_id_5184
genome_58	seq_id_4940
genome_17	seq_id_5254
genome_889	seq_id_5148
genome_865	seq_id_5225
genome_612	seq_id_4860
genome_330	seq_id_5133
genome_836	seq_id_5041
genome_892	seq_id_5072
genome_429	seq_id_5085
genome_658	seq_id_5345
genome_800	seq_id_5217
genome_622	seq_id_5135
genome_133	seq_id_4979
genome_427	seq_id_4977
genome_743	seq_id_5402
genome_183	seq_id_5190
genome_358	seq_id_4845
genome_437	seq_id_5349
genome_935	seq_id_5236
genome_601	seq_id_5089
genome_785	seq_id_5271
genome_35	seq_id_4725
genome_791	seq_id_5213
genome_113	seq_id_4961
genome_450	seq_id_4987
genome_675	seq_id_5030
genome_36	seq_id_4933
genome_764	seq_id_5101
genome_111	seq_id_5149
genome_684	seq_id_5068
genome_548	seq_id_5054
genome_376	seq_id_5111
genome_529	seq_id_4876
genome_757	seq_id_5241
genome_565	seq_id_5201
genome_350	seq_id_5036
genome_317	seq_id_5195
genome_754	seq_id_5073
genome_192	seq_id_4987
genome_646	seq_id_5126
genome_673	seq_id_5161
genome_352	seq_id_4924
genome_39	seq_id_5218
genome_491	seq_id_4984
genome_228	seq_id_4824
genome_517	seq_id_5012
genome_702	seq_id_5185
genome_75	seq_id_5113
genome_153	seq_id_5093
genome_999	seq_id_4918
genome_109	seq_id_5225
genome_344	seq_id_5430
genome_824	seq_id_5016
genome_637	seq_id_5335
genome_941	seq_id_4981
genome_190	seq_id_5063
genome_333	seq_id_4795
genome_265	seq_id_5102
genome_472	seq_id_5204
genome_949	seq_id_5082
genome_410	seq_id_4731
genome_349	seq_id_5252
genome_7	seq_id_4867
genome_751	seq_id_5064
genome_909	seq_id_4975
genome_931	seq_id_5124
genome_595	seq_id_5152
genome_952	seq_id_5140
genome_46	seq_id_5046
genome_44	seq_id_4999
genome_902	seq_id_4908
genome_424	seq_id_4909
genome_774	seq_id_5259
genome_273	seq_id_4998
genome_108	seq_id_5266
genome_977	seq_id_5085
genome_971	seq_id_5034
genome_687	seq_id_5036
genome_297	seq_id_5143
genome_355	seq_id_4889
genome_263	seq_id_5044
genome_914	seq_id_5206
genome_944	seq_id_5101
genome_60	seq_id_5436
genome_788	seq_id_5230
genome_332	seq_id_5127
genome_508	seq_id_4869
genome_182	seq_id_5225
genome_716	seq_id_5039
genome_431	seq_id_5101
genome_115	seq_id_5010
genome_336	seq_id_5137
genome_322	seq_id_5128
genome_974	seq_id_5102
genome_978	seq_id_5106
genome_901	seq_id_5134
genome_170	seq_id_5158
genome_418	seq_id_5064
genome_939	seq_id_4780
genome_30	seq_id_5070
genome_138	seq_id_5202
genome_805	seq_id_5264
genome_351	seq_id_5151
genome_858	seq_id_5332
genome_373	seq_id_5121
genome_134	seq_id_5349
genome_2	seq_id_5032
genome_346	seq_id_5304
genome_82	seq_id_5236
genome_313	seq_id_5143
genome_361	seq_id_5133
genome_257	seq_id_5216
genome_305	seq_id_4967
genome_557	seq_id_5072
genome_193	seq_id_5131
genome_728	seq_id_5419
genome_271	seq_id_4808
genome_1	seq_id_5044
genome_147	seq_id_5102
genome_359	seq_id_5344
genome_365	seq_id_5058
genome_486	seq_id_5143
genome_686	seq_id_5354
genome_372	seq_id_5331
genome_347	seq_id_5018
genome_204	seq_id_5132
genome_513	seq_id_4985
genome_396	seq_id_5061
genome_470	seq_id_5062
genome_32	seq_id_5088
genome_817	seq_id_5252
genome_458	seq_id_4885
genome_717	seq_id_5180
genome_740	seq_id_5121
genome_720	seq_id_4747
genome_216	seq_id_4946
genome_528	seq_id_5269
genome_251	seq_id_5200
genome_73	seq_id_4953
genome_719	seq_id_4879
genome_848	seq_id_5219
genome_298	seq_id_5221
genome_735	seq_id_4880
genome_723	seq_id_5138
genome_692	seq_id_5049
genome_275	seq_id_4892
genome_195	seq_id_5139
genome_644	seq_id_5044
genome_45	seq_id_4675
genome_562	seq_id_4995
genome_81	seq_id_5204
genome_447	seq_id_5088
genome_812	seq_id_5035
genome_327	seq_id_5232
genome_759	seq_id_5114
genome_509	seq_id_5261
genome_25	seq_id_4824
genome_632	seq_id_5054
genome_4	seq_id_5050
genome_994	seq_id_5208
genome_652	seq_id_5138
genome_966	seq_id_5051
genome_833	seq_id_5047
genome_140	seq_id_5161
genome_795	seq_id_4754
genome_345	seq_id_5206
genome_660	seq_id_4874
genome_613	seq_id_5139
genome_441	seq_id_4688
genome_214	seq_id_4732
genome_710	seq_id_5269
genome_997	seq_id_5061
genome_249	seq_id_4938
genome_67	seq_id_5143
genome_645	seq_id_5190
genome_213	seq_id_5114
genome_832	seq_id_5193
genome_545	seq_id_4977
genome_296	seq_id_5295
genome_308	seq_id_5156
genome_29	seq_id_5415
genome_403	seq_id_4854
genome_792	seq_id_5223
genome_395	seq_id_5110
genome_499	seq_id_5349
genome_483	seq_id_5145
genome_325	seq_id_5162
genome_253	seq_id_5260
genome_753	seq_id_5158
genome_26	seq_id_5137
genome_626	seq_id_5177
genome_8	seq_id_5077
genome_843	seq_id_5229
genome_87	seq_id_5182
genome_343	seq_id_5259
genome_651	seq_id_5106
genome_156	seq_id_5155
genome_918	seq_id_5240
genome_419	seq_id_5262
genome_822	seq_id_5178
genome_912	seq_id_5134
genome_243	seq_id_4862
genome_290	seq_id_5144
genome_124	seq_id_5059
genome_712	seq_id_4914
genome_589	seq_id_5055
genome_434	seq_id_5009
genome_430	seq_id_4861
genome_610	seq_id_5027
genome_279	seq_id_5073
genome_476	seq_id_4874
genome_854	seq_id_5428
genome_831	seq_id_5275
genome_234	seq_id_5049
genome_867	seq_id_5222
genome_897	seq_id_5111
genome_796	seq_id_5023
genome_563	seq_id_4957
genome_910	seq_id_5183
genome_14	seq_id_5159
genome_677	seq_id_5216
genome_55	seq_id_5013
genome_9	seq_id_5152
genome_746	seq_id_4751
genome_511	seq_id_4805
genome_328	seq_id_4937
genome_225	seq_id_5373
genome_501	seq_id_5087
genome_553	seq_id_5068
genome_826	seq_id_4857
genome_392	seq_id_4930
genome_967	seq_id_5255
genome_919	seq_id_5142
genome_711	seq_id_5132
genome_20	seq_id_5153
genome_721	seq_id_5016
genome_240	seq_id_5027
genome_709	seq_id_5186
genome_703	seq_id_4978
genome_15	seq_id_5285
genome_504	seq_id_4907
genome_783	seq_id_5122
genome_881	seq_id_5154
genome_547	seq_id_5243
genome_150	seq_id_5063
genome_262	seq_id_5095
genome_859	seq_id_5088
genome_960	seq_id_5399
genome_749	seq_id_4860
genome_426	seq_id_4844
genome_536	seq_id_5438
genome_474	seq_id_5357
genome_928	seq_id_5139
genome_523	seq_id_5181
genome_707	seq_id_4865
genome_471	seq_id_5097
genome_507	seq_id_4853
genome_74	seq_id_4975
genome_364	seq_id_5041
genome_227	seq_id_5156
genome_318	seq_id_5121
genome_598	seq_id_4875
genome_802	seq_id_5092
genome_706	seq_id_5291
genome_846	seq_id_4776
genome_414	seq_id_5185
genome_120	seq_id_5112
genome_101	seq_id_4956
genome_300	seq_id_5248
genome_77	seq_id_4878
genome_729	seq_id_5080
genome_435	seq_id_5047
genome_907	seq_id_4965
genome_425	seq_id_5138
genome_868	seq_id_5249
genome_640	seq_id_4908
genome_490	seq_id_5446
genome_292	seq_id_5295
genome_628	seq_id_5139
genome_13	seq_id_4972
genome_758	seq_id_5144
genome_714	seq_id_5419
genome_337	seq_id_5283
genome_750	seq_id_4996
genome_828	seq_id_4898
genome_375	seq_id_5123
genome_166	seq_id_5239
genome_891	seq_id_5401
genome_560	seq_id_5145
genome_694	seq_id_5126
genome_899	seq_id_5139
genome_819	seq_id_5045
genome_953	seq_id_5037
genome_638	seq_id_5364
genome_672	seq_id_5059
genome_518	seq_id_5207
genome_975	seq_id_5117
genome_219	seq_id_5349
genome_452	seq_id_5024
genome_357	seq_id_5099
genome_847	seq_id_4912
genome_597	seq_id_4999
genome_159	seq_id_5220
genome_957	seq_id_5065
genome_733	seq_id_5274
genome_885	seq_id_5102
genome_137	seq_id_5044
genome_742	seq_id_5158
genome_896	seq_id_5229
genome_653	seq_id_5181
genome_890	seq_id_5112
genome_480	seq_id_5039
genome_649	seq_id_5025
genome_834	seq_id_5113
genome_524	seq_id_5108
genome_286	seq_id_5063
genome_979	seq_id_5256
genome_311	seq_id_5379
genome_104	seq_id_5148
genome_617	seq_id_5079
genome_942	seq_id_4979
genome_587	seq_id_4765
genome_199	seq_id_4844
genome_510	seq_id_5130
genome_230	seq_id_5126
genome_845	seq_id_5139
genome_321	seq_id_5129
genome_362	seq_id_5236
genome_270	seq_id_4972
genome_481	seq_id_5316
genome_469	seq_id_5216
genome_353	seq_id_5293
genome_773	seq_id_5018
genome_68	seq_id_5109
genome_457	seq_id_5152
genome_354	seq_id_4742
genome_91	seq_id_4995
genome_525	seq_id_5026
genome_367	seq_id_5233
genome_745	seq_id_4990
genome_187	seq_id_5139
genome_585	seq_id_5227
genome_443	seq_id_4945
genome_608	seq_id_5264
genome_543	seq_id_4880
genome_128	seq_id_4785
genome_731	seq_id_4998
genome_66	seq_id_4906
genome_537	seq_id_5257
genome_779	seq_id_5105
genome_90	seq_id_5405
genome_191	seq_id_5363
genome_250	seq_id_5020
genome_70	seq_id_5183
genome_811	seq_id_5274
genome_809	seq_id_5536
genome_600	seq_id_5174
genome_448	seq_id_5064
genome_514	seq_id_5269
genome_760	seq_id_5005
genome_143	seq_id_4851
genome_670	seq_id_5199
genome_378	seq_id_5337
genome_793	seq_id_5221
genome_48	seq_id_4891
genome_465	seq_id_5123
genome_921	seq_id_4930
genome_578	seq_id_5182
genome_685	seq_id_5203
genome_222	seq_id_5044
genome_575	seq_id_5052
genome_862	seq_id_5264
genome_577	seq_id_5067
genome_148	seq_id_4960
genome_775	seq_id_5104
genome_397	seq_id_4885
genome_442	seq_id_5081
genome_887	seq_id_5236
genome_132	seq_id_4912
genome_995	seq_id_4833
genome_671	seq_id_4973
genome_876	seq_id_5043
genome_744	seq_id_5137
genome_689	seq_id_5276
genome_232	seq_id_5171
genome_861	seq_id_5079
genome_669	seq_id_5150
genome_616	seq_id_5081
genome_342	seq_id_5393
genome_98	seq_id_5113
genome_174	seq_id_5241
genome_920	seq_id_5198
genome_163	seq_id_5162
genome_564	seq_id_5090
genome_61	seq_id_5061
genome_851	seq_id_5333
genome_599	seq_id_5175
genome_479	seq_id_5039
genome_386	seq_id_4944
genome_161	seq_id_5265
genome_126	seq_id_5159
genome_516	seq_id_5179
genome_215	seq_id_5146
genome_614	seq_id_5479
genome_570	seq_id_4781
genome_462	seq_id_5221
genome_449	seq_id_5100
genome_360	seq_id_5322
genome_42	seq_id_4860
genome_43	seq_id_4973
genome_927	seq_id_5091
genome_780	seq_id_5403
genome_558	seq_id_4990
genome_986	seq_id_4945
genome_860	seq_id_5129
genome_370	seq_id_5032
genome_103	seq_id_4976
genome_226	seq_id_5061
genome_440	seq_id_5085
genome_52	seq_id_5022
genome_438	seq_id_5023
genome_869	seq_id_5221
genome_217	seq_id_4876
genome_527	seq_id_5132
genome_787	seq_id_5203
genome_976	seq_id_5112
genome_10	seq_id_5076
genome_987	seq_id_4777
genome_945	seq_id_5012
genome_573	seq_id_5113
genome_844	seq_id_5342
genome_88	seq_id_4877
genome_475	seq_id_5171
genome_238	seq_id_5041
genome_842	seq_id_5348
genome_329	seq_id_5232
genome_959	seq_id_5033
genome_78	seq_id_4989
genome_385	seq_id_5129
genome_841	seq_id_5052
genome_542	seq_id_5159
genome_319	seq_id_5185
genome_607	seq_id_4955
genome_185	seq_id_5141
genome_205	seq_id_5399
genome_301	seq_id_4986
genome_943	seq_id_5472
genome_460	seq_id_4953
genome_388	seq_id_5007
genome_857	seq_id_5088
genome_267	seq_id_5158
genome_169	seq_id_5013
genome_299	seq_id_5175
genome_697	seq_id_5029
genome_505	seq_id_5107
genome_568	seq_id_5347
genome_776	seq_id_5196
genome_674	seq_id_5183
genome_99	seq_id_5098
genome_737	seq_id_5090
genome_180	seq_id_4735
genome_991	seq_id_5032
genome_642	seq_id_5028
genome_93	seq_id_5119
genome_12	seq_id_5113
genome_408	seq_id_5076
genome_631	seq_id_5018
genome_247	seq_id_5204
genome_872	seq_id_5186
genome_31	seq_id_5058
genome_384	seq_id_5058
genome_581	seq_id_5212
genome_71	seq_id_4899
genome_955	seq_id_4945
genome_970	seq_id_4936
genome_398	seq_id_5278
genome_320	seq_id_5019
genome_884	seq_id_5033
genome_535	seq_id_5433
genome_248	seq_id_5094
genome_904	seq_id_5302
genome_488	seq_id_5079
genome_950	seq_id_5212
genome_532	seq_id_4703
genome_662	seq_id_5287
genome_47	seq_id_5016
genome_241	seq_id_5277
genome_223	seq_id_5034
genome_878	seq_id_5068
genome_668	seq_id_5155
genome_173	seq_id_4884
genome_905	seq_id_5210
genome_808	seq_id_5618
genome_306	seq_id_5171
genome_898	seq_id_5322
genome_930	seq_id_4889
genome_326	seq_id_5093
genome_825	seq_id_4993
genome_16	seq_id_5107
genome_512	seq_id_4919
genome_620	seq_id_5198
genome_186	seq_id_4955
genome_189	seq_id_4719
genome_656	seq_id_4933
genome_181	seq_id_4800
genome_348	seq_id_5034
genome_827	seq_id_5273
genome_24	seq_id_5077
genome_105	seq_id_5403
genome_477	seq_id_5246
genome_316	seq_id_5391
genome_894	seq_id_5015
genome_727	seq_id_5374
genome_176	seq_id_5062
genome_432	seq_id_5273
genome_201	seq_id_5067
genome_594	seq_id_4980
genome_604	seq_id_5108
genome_906	seq_id_5318
genome_655	seq_id_4968
genome_63	seq_id_5225
genome_908	seq_id_5066
genome_145	seq_id_5227
genome_492	seq_id_4837
genome_83	seq_id_5236
genome_335	seq_id_5134
genome_323	seq_id_5074
genome_664	seq_id_5374
genome_767	seq_id_4993
genome_925	seq_id_5079
genome_983	seq_id_5195
genome_489	seq_id_4911
genome_1000	seq_id_5129
genome_171	seq_id_5183
genome_369	seq_id_5395
genome_864	seq_id_5271
genome_38	seq_id_4899
genome_368	seq_id_5133
genome_415	seq_id_5433
genome_627	seq_id_5124
genome_988	seq_id_5255
genome_404	seq_id_5324
genome_400	seq_id_5203
genome_277	seq_id_4937
genome_11	seq_id_4751
genome_382	seq_id_4801
genome_611	seq_id_5412
genome_413	seq_id_4760
genome_224	seq_id_4874
genome_781	seq_id_4868
genome_798	seq_id_5269
genome_284	seq_id_5077
genome_22	seq_id_5129
genome_135	seq_id_5199
genome_3	seq_id_4958
genome_202	seq_id_5030
genome_146	seq_id_4914
genome_840	seq_id_5194
genome_635	seq_id_4950
genome_172	seq_id_5430
genome_954	seq_id_5251
genome_546	seq_id_5061
genome_934	seq_id_5181
genome_837	seq_id_5060
genome_968	seq_id_5579
genome_239	seq_id_4955
genome_583	seq_id_5203
genome_207	seq_id_5369
genome_399	seq_id_5161
genome_938	seq_id_5152
genome_65	seq_id_5455
genome_964	seq_id_5033
genome_149	seq_id_5302
genome_551	seq_id_5298
genome_64	seq_id_5110
genome_718	seq_id_5049
genome_886	seq_id_5323
genome_407	seq_id_5159
genome_866	seq_id_5158
genome_765	seq_id_4963
genome_482	seq_id_4956
genome_596	seq_id_5066
genome_522	seq_id_5286
genome_19	seq_id_4939
genome_799	seq_id_4983
genome_965	seq_id_5105
genome_289	seq_id_5143
genome_160	seq_id_5022
genome_818	seq_id_5176
genome_307	seq_id_4940
